47 469 61886 2 2 1 15 78 11 8 7 22
48 90 60784 2 2 2 10 90 4 13 14 17
48 328 62671 3 1 2 10 44 7 4 10 14
49 433 52782 2 2 3 5 150 7 24 21 16
49 868 66198 2 4 3 15 154 11 41 19 26
49 921 62395 3 1 2 10 96 8 27 4 21
50 143 57408 2 2 0 0 0 0 0 0 0
50 275 56905 6 2 2 15 109 13 31 11 45
50 412 61256 2 3 1 15 86 10 10 21 20
51 170 87619 2 0 3 10 26 0 16 0 1
51 236 92717 2 0 2 15 4 2 0 0 2
53 231 54567 3 0 2 5 28 3 11 0 7
53 406 54046 4 0 1 10 68 4 24 0 19
53 434 47012 2 1 2 5 23 2 10 3 3
55 11 38766 2 0 3 0 46 3 14 0 7
55 361 45325 2 1 2 0 32 6 5 5 6
56 454 96627 3 1 2 15 44 4 2 10 13
57 597 80692 3 1 2 15 71 7 10 12 19
58 33 59006 2 0 1 10 13 2 0 0 11
58 176 57433 2 0 1 5 15 3 2 0 5
58 368 64629 6 0 1 20 117 8 29 0 29
58 481 58958 2 1 2 10 84 6 38 5 18
58 853 62697 1 0 2 5 12 1 0 0 8
58 929 66688 3 1 2 10 23 5 0 8 10
58 998 62866 2 1 3 10 73 3 28 6 13
58 1018 66348 3 3 2 10 96 5 42 12 24
59 54 36903 3 0 2 5 18 4 0 0 10
59 499 33347 1 0 1 0 4 1 1 0 2
59 692 45533 3 0 0 0 0 0 0 0 0
60 420 41372 1 0 2 5 40 4 35 0 0
61 247 108619 4 1 3 25 59 7 12 11 20
62 273 70796 2 0 0 0 0 0 0 0 0
62 335 75221 3 1 1 15 69 5 22 12 20
63 7 47952 2 0 1 0 0 0 0 0 0
63 189 50122 1 0 2 5 43 2 18 0 11
63 482 50272 1 0 2 5 48 3 23 0 5
64 309 58756 4 1 2 10 73 7 18 7 22
64 568 63167 1 0 1 15 42 4 18 0 17
64 952 57297 2 0 0 0 0 0 0 0 0
66 216 96260 1 0 3 15 5 1 4 0 0
67 238 76840 3 0 1 10 19 0 8 0 7
67 393 75768 1 0 2 5 0 0 0 0 0
67 654 85745 3 0 2 10 4 3 0 0 1
68 45 78867 1 0 0 0 0 0 0 0 0
68 730 69345 2 1 3 10 28 3 2 7 9
68 910 81707 5 0 3 15 27 4 1 0 17
70 550 84906 3 0 1 15 57 4 36 0 14
70 700 83033 1 0 2 10 18 1 8 0 2
71 319 85192 2 0 0 0 0 0 0 0 0
71 465 94592 2 0 1 15 26 1 11 0 6
72 25 76841 2 1 0 0 0 0 0 0 0
72 737 89556 3 0 2 15 56 6 20 0 23
73 372 81060 2 0 2 10 19 3 1 0 10
73 580 79705 2 2 1 10 32 4 4 8 11
74 281 85878 3 0 1 15 25 5 7 0 5
74 468 81193 2 1 1 15 54 5 19 11 18
74 521 78270 4 0 4 10 21 5 4 0 8
74 558 80318 2 0 1 10 4 3 0 0 0
75 260 79971 4 0 2 10 58 2 31 0 17
75 743 80137 3 2 2 20 84 8 23 8 25
2 22 31143 1 0 0 0 0 0 0 0 0
4 7 45038 1 0 2 0 31 3 12 0 12
4 86 66222 3 5 2 15 143 10 50 25 36
6 17 44327 2 0 3 5 74 6 30 0 19
8 71 74515 3 1 2 15 73 8 17 1 26
9 79 79446 2 1 2 15 137 9 39 13 18
13 135 87940 6 0 2 20 67 13 18 0 34
14 74 64469 3 1 4 15 138 12 23 12 40
16 38 34873 1 0 1 5 60 7 20 0 19
16 88 74766 5 2 3 15 120 10 47 13 29
16 115 30382 1 0 1 5 40 5 9 0 13
17 40 71878 3 1 2 15 114 9 32 6 26
26 38 70195 2 0 2 15 100 11 23 0 22
31 139 60472 2 0 2 5 26 5 9 0 9
36 112 36285 1 0 0 0 0 0 0 0 0
36 191 38543 1 0 1 0 57 5 27 0 11
42 77 46418 3 0 2 5 38 7 8 0 21
44 6 54524 2 1 2 5 41 4 17 3 17
45 57 62047 3 1 4 10 56 14 0 14 24
46 224 55318 2 0 3 5 12 3 0 0 9
