5491 RI Warwick_Country_Club 18 priv 1923 25 25 35 25 6453 71.8 69 15 7.5 y y
10276 VT Haystack_Golf_Club 18 semi 1972 40 24 45 24 6549 71.1 72 30 18 n y
6025 MN Pierz 9 pub 1939 . 10 . 10 3058 69.2 35 16.5 11 n n
9739 GA Southerness_G_C 18 semi 1991 37 37 45 37 6766 72.2 72 0 0 n y
3463 CA Whispering_Lakes 18 pub 1970 17 10 20 10 6706 71.4 72 22 15 n y
5883 MN Hidden_Creek 18 pub 1996 16 12 18 12 7002 73.5 72 10 7 n y
7493 FL Briar_Bay 9 pub 1970 . 8 . 8 3966 . 31 10.5 5.25 n n
7246 TN Memphis_CC 18 priv 1917 40 40 40 40 6589 71.9 70 14 7 n y
1189 OH Oakwood_CC 9 priv 1921 . 5 . 5 1790 . 30 . . n n
7500 FL Buffalo_Creek 18 pub 1989 32 23.5 32 23.5 7005 73.1 72 0 0 n n
9721 GA Rivermont 18 priv 1973 40 40 50 40 6767 72.4 72 11.5 6.5 n y
137 AL Lakeview_CC 18 priv 1965 12 12 12 12 6326 . 72 12 12 n n
1192 OH Ohio_State_U_Gray 18 resort 1939 35 35 35 35 5985 67.3 70 20 10 n y
11138 IL Monticello_Golf_Club 9 priv 1922 . 12 . 12 2927 67.4 36 14 9 n n
6108 MN Twin_Pines 9 pub . . 10 . 10 3162 . 36 13.4 7.8 n n
6609 MS Grand_Oaks_Resort 18 pub 1994 28 20 32 20 6355 69.7 70 18 10 n y
7268 TN Overton 9 pub 1906 . 5 . 5 2222 . 34 10 5 n y
5255 MI Rochester_Hills 18 pub 1958 22 15 27 15 6494 71.6 72 11 7 n n
7577 FL Creekside 18 pub . 12.5 9 12.5 9 6107 69.6 72 7.5 6 n n
7381 FL American_GC 18 pub 1958 20 20 20 20 2971 . 58 10 10 n y
10559 VA Galax 9 priv 1925 . 10 . 10 3015 70.4 36 8 5 n y
2566 CA Alta_Sierra 18 priv 1965 35 18 40 18 6537 71.2 72 20 12 n y
4474 CT CC_of_Waterbury 18 priv 1899 30 20 40 20 6301 71 69 13.5 9.25 y y
8028 FL The_Moors 18 pub 1993 20.5 10.25 20.5 10.25 6956 73.3 71 12 6 n y
5074 MI Manistee 18 semi 1901 35 18 35 18 5614 67.9 70 0 0 n y
11396 IL Walnut_Greens 9 pub 1988 . 7 . 7 1078 . 27 . . n y
2265 MD Gunpowder 18 pub 1956 10 10 12 10 6061 67.3 70 19 11 n y
5627 CO Mossland_Memorial 9 pub 1986 . 8 . 8 2846 67.6 36 15 10 n n
1087 OH Larch_Tree 18 pub 1971 16 10 20 10 6982 71.5 72 10 5 n n
5532 CO Cottonwood 9 pub 1963 . 9 . 9 3094 68.3 36 16 8 n y
7002 MO Pommes_de_Terre 18 semi 1978 12 10 14 10 5876 66.1 72 16 10 n n
8735 TX Colony_Creek 18 priv 1986 30 30 35 30 6261 69.9 71 0 0 n y
1435 OH Wedgewood 18 priv 1991 75 75 75 75 6933 73.5 72 13.5 6.25 y y
933 OH Fairway_River_Links 9 pub 1928 . 6 . 6 2866 . 35 12 6 n n
8334 FL Spanish_Wells/east_North 18 priv 1996 50 50 50 50 6710 71.8 72 13 8 n y
5748 MN Braemer_Red/White 18 pub . 21 11.5 21 11.5 6539 71.8 71 20 12 y y
3363 CA Sun_City_Roseville 18 semi 1995 40 40 40 40 6485 70.8 72 0 0 n y
11072 IL Lakeside 9 priv 1922 . 6 . 6 2366 62.5 32 7 3.5 n y
14182 KS Coffeyville 9 priv 1955 . 15 . 15 3399 73.2 36 14 8 n n
4891 MI Golden 9 pub 1993 . 6 . 6 2351 . 33 9 6 n n
1949 OK Lawton 18 pub 1956 8.5 8.5 10 8.5 7112 72.9 72 16 8 n y
14619 NC Lakewood_Par-3 9 pub 1966 . 3.25 . 3.25 683 . 27 . . n n
11495 NJ Fairway_Valley 9 pub 1969 . 14 . 14 2935 67.4 36 11 9 n y
8646 TX Bent_Tree_(Dallas) 18 priv 1972 101 101 101 101 7113 72.5 72 0 0 n y
5036 MI Lakes_of_Taylor 18 pub 1995 38 22.5 44 22.5 7028 . 72 0 0 n y
6971 MO Mozingo_Lake 18 pub 1995 14.5 9.5 17.5 9.5 7072 73.5 72 9.5 5.5 n y
6662 MS Pine_Bayou 9 mili 1975 . 8 . 8 3177 . 36 7 4 n y
11995 IN Broadmoor 18 priv 1910 50 30 60 30 6670 72.5 72 12.5 6.25 y y
11378 IL Union_County_CC 9 semi 1964 . 7 . 7 3107 68.5 35 8 4 n y
3754 MA Trull_Brook 18 pub 1963 30 15 33 15 6335 . 72 22 12 n y
3368 CA Sundale_CC 18 priv 1962 25 15 25 15 6801 71.8 72 10 5 n y
13890 WI Ives_Grove_blue/red 18 pub 1970 18.15 9.6 19.25 9.6 7010 73 72 24 12 n y
3651 MA shawtuc 18 priv 1930 50 50 75 50 6828 73.2 72 12.5 6.25 y y
